voornaam,achternaam,school,functie
Bart,Delhaye,SRS,Employee
Jackson,Govaerts,SMM,Student
Abe,De Roeck,SFE,Student
Ayaz,Vrancken,SFEM,Student
Dante,Bodart,IBS,Student
Frenkie,Merckx,SRS,Employee
Fynn,Piron,SMM,Student
Kjeld,Georges,SFE,Student
Tijmen,Van de Voorde,SFEM,Employee
Tuur,Bourgeois,IBS,Student
Ahmed,Tanghe,SRS,Student
Ayoub,De Block,SMM,Student
Maarten,Verbist,SFE,Student
Marinus,Van Assche,SFEM,Employee
Riv,Vandekerckhove,IBS,Student
Seppe,Roland,SRS,Student
Tycho,De Bie,SMM,Employee
Xem,Jonckheere,SFE,Student
Younes,Hardy,SFEM,Student
Davey,Borremans,IBS,Student
Ilay,Baetens,SMM,Employee
Isaac,Verelst,SFE,Student
Kevin,Nguyen,SFEM,Student
Levy,De Maeyer,IBS,Employee
Lou,Carpentier,SRS,Student
Louay,Gilles,SMM,Student
Michael,Boulanger,SFE,Student
Joe,Tack,SFEM,Student
Teije,Poppe,IBS,Employee
Bilal,Theys,SRS,Student
Lorenzo,Masson,SMM,Student
Sebastian,Naessens,SFE,Employee
Tibbe,Pierre,SFEM,Student
Ace,Leysen,IBS,Student
Brandon,Van Loo,SRS,Student
Christiaan,Van de Walle,SMM,Student
George,Hoste,SFE,Employee
Jimmy,Wellens,SFEM,Student
Jur,Van Laere,IBS,Student
William,Daniels,SMM,Student
Alan,Pattyn,SFE,Student
Jakub,Dufour,SFEM,Student
Maher,Philips,IBS,Student
Tyler,Delfosse,SMM,Student
Alparslan,Vansteenkiste,SFE,Student
Christian,Geeraerts,SFEM,Employee
Joost,D'hondt,IBS,Student
Jorn,Dobbelaere,SRS,Student
Lyam,De Vuyst,SMM,Student
Maas,Pollet,SFE,Student
Mehmet,De Baets,SFEM,Employee
Mink,Moors,IBS,Student
Tristan,Vandecasteele,SRS,Student
Anthony,Etienne,SMM,Employee
Dexx,Staelens,SFE,Student
Flynn,Van Rompaey,SFEM,Student
Klaas,De Sutter,IBS,Student
Mads,Viaene,SRS,Student
Mahir,Vanderheyden,SMM,Employee
Miles,Cox,SFE,Student
Rick,Van den Bosch,SFEM,Student
Wessel,Lefevre,IBS,Employee
Zion,Kaya,SRS,Student
Albert,Yildirim,SMM,Student
Arie,Vanderlinden,SFE,Student
Fender,Buelens,SFEM,Student
Quin,Brasseur,IBS,Employee
Ralph,Van Dessel,SRS,Student
Siebe,Lippens,SMM,Student
Wouter,Callebaut,SFE,Employee
Bradley,Colson,SFEM,Student
Dorian,Mestdagh,IBS,Student
Kyano,Roelandt,SRS,Student
Liyam,Marchand,SMM,Student
Luciano,De Neve,SFE,Employee
Moussa,Laenen,SFEM,Student
Musa,Lecocq,IBS,Student
Nout,Denys,SRS,Employee
Ole,Smolders,SMM,Student
Tieme,Dethier,SFE,Student
Bodi,Jacquet,SFEM,Student
Davi,Depoorter,IBS,Student
Ismail,Verboven,SRS,Employee
Marcus,Melis,SMM,Student
Noan,Urbain,SFE,Student
Thom,Dewitte,SFEM,Employee
Toby,De Graeve,IBS,Student
Axel,Olivier,SRS,Student
Bastiaan,Mercier,SMM,Student
Bryan,Willaert,SFE,Student
Isaiah,Stroobants,SFEM,Employee
Johan,Samyn,IBS,Student
Kerem,Heyvaert,SRS,Student
Merijn,Roose,SMM,Employee
Mustafa,Casier,SFE,Student
Thiago,Michielsen,SFEM,Student
Adriaan,Allard,IBS,Student
Davy,Berger,SRS,Student
Dax,Nicolas,SMM,Employee
Kaan,Cambier,SFE,Student
Len,Van Gorp,SFEM,Student
Leonardo,Pirotte,IBS,Employee
Loet,Pirard,SRS,Student
Tommy,Delcourt,SMM,Student
Toon,Colin,SFE,Student
Wes,Rutten,SFEM,Student
Yahya,Laureys,IBS,Employee
Javi,Dillen,SRS,Student
Marijn,Deconinck,SMM,Student
Milano,Hellemans,SFE,Employee
Otto,Demuynck,SFEM,Student
Peter,Seghers,IBS,Student
Silvan,De Cuyper,SRS,Student
Sjors,Op de Beeck,SMM,Student
Enzo,Buysse,SFE,Employee
Kick,Goovaerts,SFEM,Student
Leendert,Bruggeman,IBS,Student
Maximilian,Bertels,SRS,Employee
Mels,Loos,SMM,Student
Rico,Stas,SFE,Student
Sev,Timmerman,SFEM,Student
Yassine,Van Dijck,IBS,Student
Zeyd,Vereecken,SRS,Employee
Ayman,Dekeyser,SMM,Student
Finley,Lammens,SFE,Student
Isa,Horemans,SFEM,Employee
Junayd,Demir,IBS,Student
Malik,Van Looveren,SRS,Student
Nino,Steyaert,SMM,Student
Ahmad,Ahmed,SFE,Student
Benja,Rosseel,SFEM,Employee
Benyamin,De Wachter,IBS,Student
Djayden,Ali,SRS,Student
Jefta,Bruyninckx,SMM,Employee
Manu,Adams,SFE,Student
Martin,De Ryck,SFEM,Student
Storm,Delmotte,IBS,Student
Abraham,Feys,SRS,Student
Anouar,Roosen,SMM,Employee
Bjorn,De Rycke,SFE,Student
Bo,De Meester,SFEM,Student
Jaylen,Dejonghe,IBS,Employee
Keano,Van Laer,SRS,Student
Matthew,Bodson,SMM,Student
Naoufel,Mees,SFE,Student
Viggo,Franck,SFEM,Student
Yves,Huys,IBS,Employee
Zev,Buyse,SRS,Student
Aleksander,Deleu,SMM,Student
Deniz,Depuydt,SFE,Employee
Jeremiah,Gillard,SFEM,Student
Josh,Gillis,IBS,Student
Kacper,Van Impe,SRS,Student
Raphael,Boon,SMM,Student
Rover,Barbier,SFE,Employee
Seb,De Bondt,SFEM,Student
Viktor,Dumoulin,IBS,Student
Zef,Brouwers,SRS,Employee
Abdullah,Knockaert,SMM,Student
Bruce,Gobert,SFE,Student
Gideon,Colpaert,SFEM,Student
Idris,Heremans,IBS,Student
Jacobus,Demoulin,SRS,Employee
Joes,Gevaert,SMM,Student
Lieuwe,Proost,SFE,Student
Matz,Van Campenhout,SRS,Employee
Mylo,Bruneel,SMM,Student
Theo,Jacquemin,SFE,Student
Thije,Arnould,SFEM,Student
Wolf,Van Gestel,IBS,Student
Zain,Degryse,SRS,Employee
Bowie,Schoofs,SMM,Student
Danilo,Moreels,SFE,Student
Jona,Durieux,SFEM,Employee
Kenzo,Rogiers,IBS,Student
Mylan,Put,SRS,Student
Noam,Fierens,SMM,Student
Valentino,Reynaert,SFEM,Employee
Yannick,Joos,IBS,Student
Yassir,Van Lierde,SRS,Student
Ahmet,Sabbe,SMM,Employee
Christopher,Liekens,SFE,Student
Dion,Faes,SFEM,Student
Flip,Sanders,IBS,Student
Freek,Braem,SRS,Student
Ilias,De Bruycker,SMM,Employee
Jaylano,De Schutter,SFE,Student
Menno,Vereecke,SFEM,Student
Micah,Celis,IBS,Employee
Mozes,Vermeir,SRS,Student
Nils,Sels,SMM,Student
Robert,De Mey,SFE,Student
Sander,Lucas,SFEM,Student
Sebas,Hanssens,IBS,Employee
Youp,Thirion,SRS,Student
Adrian,Verbiest,SMM,Student
Armin,Piret,SFE,Employee
Dylano,De Wulf,SFEM,Student
Giovanni,Vissers,IBS,Student
Igor,Holvoet,SRS,Student
Jakob,Raeymaekers,SMM,Student
Stefan,Van der Auwera,SFE,Employee
Tobin,Vanhee,SFEM,Student
Devin,Chevalier,IBS,Student
Dominik,Bossuyt,SRS,Employee
Jimi,Lenoir,SMM,Student
Jorrit,Minne,SFE,Student
Krijn,Verfaillie,SFEM,Student
Mitch,Ramaekers,IBS,Student
Oliwier,Collet,SRS,Employee
Reza,Willekens,SMM,Student
Senne,Van Loon,SFE,Student
Xander,Fransen,SFEM,Employee
Anton,Mouton,SRS,Student
Brian,Theunis,SMM,Student
Bruno,De Mulder,SFE,Student
Chase,Legros,SFEM,Employee
Don,Derycke,IBS,Student
Eray,Rombaut,SRS,Student
Jaimy,Muller,SMM,Employee
Jairo,Rombouts,SFE,Student
Jaxon,Franssen,SFEM,Student
Marley,Godefroid,IBS,Student
Mathijs,Berghmans,SRS,Student
Natan,Meersman,SMM,Employee
Nox,Yildiz,SFE,Student
Osman,Demeyer,SFEM,Student
Rohan,Dierick,IBS,Employee
Siep,Remacle,SRS,Student
Yousef,Vranckx,SMM,Student
Brenn,Meyers,SFE,Student
Dies,De Leeuw,SFEM,Student
Duco,Dupuis,IBS,Employee
Ensar,Bouckaert,SRS,Student
Finnley,Godart,SMM,Student
Foss,Marien,SFE,Employee
Frederik,Sahin,SFEM,Student
Glenn,De Schryver,IBS,Student
Jidde,Vinck,SRS,Student
Kayden,Devolder,SMM,Student
Marius,Thibaut,SFE,Employee
Mex,Charles,SFEM,Student
Nikodem,Orban,IBS,Student
Rayen,Wynants,SRS,Employee
Silas,Delaere,SMM,Student
Teunis,Kerkhofs,SFE,Student
Umut,Van Nuffel,SFEM,Student
Arda,Vervaet,IBS,Student
Badr,Cordier,SRS,Employee
Deen,Dewilde,SMM,Student
Emin,Deceuninck,SFE,Student
Giel,Standaert,SFEM,Employee
Hein,Degroote,IBS,Student
Jayvano,Demeyere,SRS,Student
Jelmer,Neirynck,SMM,Student
John,Beeckman,SFE,Student
Karam,Beernaert,SFEM,Employee
Louie,Sow,IBS,Student
Maes,Blondeel,SRS,Student
Mas,Gilis,SMM,Employee
Safouane,Vermeylen,SFEM,Student
Savi,Poelmans,IBS,Student
Sjoerd,Albert,SRS,Student
Tomas,De Roover,SMM,Employee
Yasin,Van Landeghem,SFE,Student
Bentley,Devriendt,SFEM,Student
Can,Neyens,IBS,Employee
Coen,Beyens,SRS,Student
Diego,Blommaert,SMM,Student
Jeppe,Adriaensen,SFE,Student
Jordy,Van Hoecke,SFEM,Student
Joseph,Ceuppens,IBS,Employee
Kenan,Coene,SRS,Student
Kenji,Dardenne,SMM,Student
Manoah,Voet,SFE,Employee
Miguel,Boeckx,SFEM,Student
Mirza,Vandersmissen,IBS,Student
Nadir,Machiels,SRS,Student
Naoufal,Tielemans,SMM,Student
Nico,Van Loock,SFE,Employee
Sabir,Van Genechten,SFEM,Student
Seff,De Weerdt,IBS,Student
Semih,Lahaye,SRS,Employee
Steven,Van Laethem,SMM,Student
Tymon,Baele,SFE,Student
Emma,Belmans,SFEM,Student
Mila,Jadot,IBS,Student
Sophie,Vanbrabant,SRS,Employee
ZoÇ®,Deman,SMM,Student
Julia,Geudens,SFE,Student
Tess,Demeulenaere,SFEM,Employee
Sara,Vervaeke,IBS,Student
Anna,Breugelmans,SRS,Student
Evi,Gerard,SMM,Student
Saar,Philippe,SFE,Student
Nora,Paulus,SFEM,Employee
Lieke,ClÇ¸ment,IBS,Student
Olivia,Vergauwen,SRS,Student
Yara,Galle,SMM,Employee
Liv,De Mol,SFE,Student
Noor,De Schrijver,SFEM,Student
Eva,Simoens,IBS,Student
Lotte,Bosman,SRS,Student
Lauren,Troch,SMM,Employee
Milou,Verwimp,SFE,Student
Sofie,Druart,SFEM,Student
Maud,Vandermeulen,IBS,Employee
Nina,Vandenbulcke,SRS,Student
Nova,Verstappen,SMM,Student
Sarah,Claesen,SFE,Student
Lynn,Delforge,SFEM,Student
Fleur,Slegers,IBS,Employee
Elin,Dockx,SRS,Student
Fenna,Cardon,SMM,Student
Isa,Neven,SFE,Employee
Emily,Moonen,SFEM,Student
Roos,Malfait,IBS,Student
Hannah,Dumortier,SRS,Student
LoÇîs,Parent,SMM,Student
Sofia,Lemoine,SFE,Employee
Mia,Vandenabeele,SFEM,Student
Lina,Kenis,IBS,Student
Ella,Saelens,SRS,Employee
Noa,Hofman,SMM,Student
Esmee,Meyer,SFE,Student
Lisa,Schreurs,SFEM,Student
Julie,Van Praet,IBS,Student
Vera,Van Poucke,SRS,Employee
Bo,Demeulemeester,SMM,Student
Hailey,Seynaeve,SFE,Student
Sophia,De Baere,SFEM,Employee
Amy,Nelissen,IBS,Student
Luna,De Muynck,SRS,Student
Isabella,Eggermont,SMM,Student
Fien,Hens,SFE,Student
Lara,Swennen,SFEM,Employee
Norah,Delporte,IBS,Student
Maria,Flament,SRS,Student
Elena,Lallemand,SMM,Employee
Liz,Wyns,SFE,Student
Jasmijn,Van Dooren,SFEM,Student
Feline,Broeckx,IBS,Student
Ivy,Matthijs,SRS,Student
Lena,Snauwaert,SMM,Employee
Kiki,Van der Linden,SFE,Student
Charlotte,Demaret,SFEM,Student
Cato,Wolfs,IBS,Employee
Anne,Henrard,SRS,Student
Merel,Vlaeminck,SMM,Student
Veerle,Van Parys,SFE,Student
Suze,Verbrugghe,SFEM,Student
Amber,Theunissen,IBS,Employee
Floor,SacrÇ¸,SRS,Student
Hanna,Khan,SMM,Student
Jill,De Roo,SFE,Employee
Juul,Van Hulle,SFEM,Student
Liva,Praet,IBS,Student
Lizzy,De Groof,SRS,Student
Naomi,Van Baelen,SMM,Student
Lily,Chen,SFE,Employee
Amira,Staes,SFEM,Student
Rosa,Walravens,IBS,Student
Lize,Vandeput,SRS,Employee
Puck,Rottiers,SMM,Student
Isabel,Meulemans,SFE,Student
Linde,Bal,SFEM,Student
Fenne,Casteleyn,IBS,Student
Fay,Maris,SRS,Employee
Sanne,Thienpont,SMM,Student
Suus,Gustin,SFE,Student
Rosalie,Cooreman,SFEM,Employee
Livia,Van Vaerenbergh,IBS,Student
Charlie,Colman,SRS,Student
Femke,Richard,SMM,Student
Johanna,Paquay,SFE,Student
Evy,Dogan,IBS,Student
Sam,Renier,SRS,Student
Eline,Vandenbosch,SMM,Employee
Elise,Noppe,SFE,Student
Inaya,Joly,SFEM,Student
Tessa,Scheers,IBS,Student
Philou,De Vriendt,SRS,Student
Iris,Becker,SMM,Employee
Laura,Delcroix,SFE,Student
Lola,Schuermans,SFEM,Student
Louise,Schollaert,IBS,Employee
Nola,Vleugels,SRS,Student
Marit,Adriaenssens,SMM,Student
Kate,Grandjean,SFE,Student
ChloÇ¸,Vandevoorde,SFEM,Student
Mara,Aydin,IBS,Employee
Guusje,Bellens,SRS,Student
Jolie,Van Mol,SMM,Student
Lot,Collette,SFE,Employee
Romy,Goyvaerts,SRS,Student
Elif,Bernaerts,SMM,Student
Emilia,Gabriels,SFE,Student
Jade,Buys,IBS,Employee
Maya,Van Raemdonck,SRS,Student
Elisa,Goemaere,SMM,Student
Fiene,De Cooman,SFE,Employee
Bobbi,Cuyvers,SFEM,Student
Benthe,Kaur,IBS,Student
Jackie,Van Cauwenberghe,SRS,Student
Lilly,Smeyers,SMM,Student
Lise,Polfliet,SFE,Employee
Lana,Billen,IBS,Student
Mirthe,Valcke,SRS,Employee
Demi,Vanlerberghe,SFE,Student
Fem,De Corte,SFEM,Student
June,De Neef,IBS,Student
Nikki,Smekens,SRS,Employee
Jet,Geuens,SFE,Student
Nine,Benoit,SFEM,Employee
VajÇùn,Verstrepen,IBS,Student
Lou,Dhont,SRS,Student
AmÇ¸lie,Naert,SMM,Student
Anouk,Vandeweyer,SFE,Student
Aya,Demey,SFEM,Employee
FÇ¸line,Haegeman,IBS,Student
Alina,Croes,SRS,Student
Pip,Van Kerckhove,SMM,Employee
Senna,Duchateau,SFE,Student
Bente,De Jaeger,SFEM,Student
Zara,Serneels,IBS,Student
Jinte,Van Opstal,SRS,Student
Nore,Braeckman,SMM,Employee
Mira,Poncin,SFE,Student
Rosie,Vanhoof,SFEM,Student
Zoey,Couvreur,IBS,Employee
Jaylinn,Clement,SRS,Student
Maryam,Huygens,SMM,Student
Indy,Laeremans,SFE,Student
Victoria,Hendrikx,SFEM,Student
Josephine,Verbraeken,IBS,Employee
Lucy,Bervoets,SRS,Student
Juna,Storms,SMM,Student
Marie,Camara,SFE,Employee
Leah,Thielemans,SFEM,Student
Mae,Volders,IBS,Student
Liyana,Jordens,SRS,Student
Ayla,Aelbrecht,SMM,Student
Bibi,Diels,SFE,Employee
Elisabeth,Elsen,SFEM,Student
Maeve,Vuylsteke,IBS,Student
Sterre,Van der Veken,SRS,Employee
Ava,Pire,SMM,Student
Novi,Govaert,SFE,Student
Janne,Willem,SFEM,Student
Noortje,Coomans,IBS,Student
Pleun,Herremans,SRS,Employee
Faye,Roelants,SMM,Student
Pien,Dechamps,SFE,Student
Yuna,Hansen,SFEM,Employee
Lieve,Dewit,IBS,Student
Maja,Gijbels,SRS,Student
Isabelle,Maenhout,SMM,Student
Janna,Six,SFE,Student
Meryem,Renson,SFEM,Employee
Jinthe,Meuleman,IBS,Student
Stella,Van Droogenbroeck,SRS,Student
Helena,Wagemans,SMM,Employee
Isra,Spruyt,SFE,Student
Mare,Velghe,SFEM,Student
Elizabeth,Duvivier,IBS,Student
Yfke,Alexandre,SRS,Student
Zeynep,Bruyneel,SMM,Employee
Ilse,Degraeve,SFE,Student
Joy,Frans,SFEM,Student
Ela,Werbrouck,SRS,Student
Mette,Lardinois,SMM,Student
Niene,Denayer,SFE,Student
Amelia,Van Gucht,SFEM,Student
EsmÇ¸e,Bellemans,IBS,Employee
Yasmin,Windels,SRS,Student
Liya,Devriese,SMM,Student
Davina,Vanherck,SFE,Employee
Lexi,Foucart,SFEM,Student
Soof,Dams,SRS,Student
Myrthe,Schelfhout,SMM,Student
Azra,Steegmans,SFE,Employee
Jula,Keppens,SFEM,Student
Nienke,Voets,IBS,Student
Ruby,Arslan,SRS,Employee
Vesper,Bauduin,SMM,Student
Vieve,Geldhof,SFE,Student
Loua,Paul,SFEM,Student
Valentina,Claerhout,IBS,Student
Silke,Verlinde,SRS,Employee
Valerie,Doms,SMM,Student
Beau,Vanacker,SFE,Student
Cornelia,Pierard,SFEM,Employee
Jessie,Snoeck,IBS,Student
Lizz,Van De Velde,SRS,Student
Nour,Van de Vyver,SMM,Student
Riley,Verhaert,SFE,Student
Flore,Celik,SFEM,Employee
Sena,Konings,IBS,Student
Elina,Vilain,SRS,Student
Lea,Cornelissen,SMM,Employee
Merle,Hendriks,SFE,Student
Alicia,Van Kerckhoven,SFEM,Student
